FIPS,2018,2014,2017,2015,2021,2019,2023,2020,2016,2022,2013,2012,2010,2024
06037,81014,77919,15272,85591,95147,78793,52978,67850,85322,67818,,,,
01119,110,138,,186,26,135,,129,115,,139,,,
01019,1638,562,407,451,754,2517,744,552,323,780,201,,,
06103,1137,981,1080,1044,1258,1288,808,1176,1078,961,,,,
05087,279,244,240,203,418,259,299,256,159,337,168,,,
12049,282,494,348,267,317,272,199,274,322,304,,,,
05105,163,56,139,112,76,119,,77,17,136,,,,
12039,476,389,711,421,548,499,452,555,775,631,,,,
02275,21,8,9,9,15,16,,13,12,,,,,
01067,300,196,281,,365,985,356,430,,1075,,,,
12085,2963,3268,2959,3507,3491,2791,2253,2969,3094,2557,,,,
08021,105,66,100,71,206,103,,104,74,129,53,,,
08029,797,512,829,,864,763,,874,693,711,,,,
01103,,36,,1551,2536,2185,,2500,,2236,1686,,,
12031,21980,16688,24559,18109,30530,22308,,22830,26959,25286,,,,
04013,109092,,109198,96364,129339,115604,61808,119353,106829,95977,,,,
04011,,,,,,,65,,,62,,,,9
02185,,,,,6,16,,6,,,,,,
01035,32,70,8,59,196,52,,120,38,132,,,,
08041,20047,13311,41044,31492,22917,39550,,21170,19201,16131,,,,
08121,64,,,,57,73,,95,53,60,72,138,,
08087,583,436,934,504,620,570,,585,486,364,404,,,
01097,5531,,7161,,8682,7107,8393,7244,6565,9024,5845,,,
04021,14410,9386,12541,,17959,15108,7954,16890,10799,15080,,,,665
05081,166,154,173,178,76,150,,94,117,154,,,,
01121,1476,2,792,3,1922,1582,,1767,10,1730,,,,
08033,43,17,16,17,42,41,,40,22,27,,,,
06033,1102,834,1150,971,1445,1035,937,1051,1083,1199,,,,
08071,315,,225,234,322,276,,334,,321,196,,,
09003,12035,9650,11491,10166,15568,12890,10170,13697,11233,13580,,,,
04009,,,,,,,432,,,530,,,,57
12079,194,151,222,149,235,180,,175,263,217,,,,
01053,13,250,133,479,227,11,,60,,97,,,,
01069,1785,,1671,35,2469,815,,2257,,1901,,,,
01079,354,357,350,438,,303,,4,303,,252,,,
01055,,,3538,1196,195,7382,,,1027,,903,,,
08069,8390,8225,8726,16864,10005,8091,,9040,8462,7745,,,,
12033,6873,5353,8714,5929,8898,6914,,7048,9732,8234,,,,
04019,23157,,23074,18647,27964,23926,17071,49810,41991,23620,,,,1662
06071,30612,26884,33554,29245,37567,30519,20637,33393,30942,28171,,,,
05061,198,372,154,103,269,207,146,189,131,192,127,,,
08031,15152,14951,15329,31155,17001,15546,,15686,15573,1761,,,,
04027,4235,2915,4308,3382,6024,4882,3013,5085,3863,4652,,,,
